fid,Nom,commune,type_pasto,period,ndvi,savi,MSAVI,evi,ndre,ndwi,.geo
12,C1-LDT,Castril,LDT,2017_AJ,0.1869134499,0.134789089,0.31209064,0.1644523613,0.131648217,-0.1141003261,"{""type"":""Polygon"",""coordinates"":[[[-2.725830605509812,37.95350041897533],[-2.7257236044776105,37.952942972546],[-2.72540252695744,37.95243909636853],[-2.7248987181814694,37.95203783037809],[-2.7242655310261075,37.951779143858104],[-2.723560945818261,37.95168997410831],[-2.7228564470677905,37.95177917426426],[-2.722223211576138,37.95203330791154],[-2.7217193610384074,37.952430191927206],[-2.721393833973578,37.9529295975329],[-2.721277889214633,37.95348701826969],[-2.7213893570436682,37.954044362647934],[-2.721710407116918,37.954548239396225],[-2.7222098564318653,37.95494960484095],[-2.722847492929398,37.955203743995654],[-2.7235475902933977,37.95529737790222],[-2.7242520994160047,37.95520825743555],[-2.7248897636535427,37.954954021639125],[-2.7253936482200563,37.954557218682034],[-2.725719127134772,37.954053291924424],[-2.725830605509812,37.95350041897533]]]}"
13,C3-LDT,Castril,LDT,2017_AJ,0.1780800088,0.1280188874,0.3014094266,0.148199753,0.1228242876,-0.1629481523,"{""type"":""Polygon"",""coordinates"":[[[-2.710183650164876,37.96319892741927],[-2.7100722089559213,37.96264156282385],[-2.709751086789866,37.96214215645134],[-2.7092472184539904,37.96174080023015],[-2.708614014899533,37.96148214848903],[-2.707913988622695,37.96139295760651],[-2.707209421362662,37.96147769558862],[-2.706571769810659,37.961731896499074],[-2.7060679356385813,37.96212874362122],[-2.7057423654581485,37.96263264615655],[-2.70562645937861,37.9631899768165],[-2.7057379658766,37.96374742172327],[-2.7060589847040473,37.96425127296221],[-2.706562894636118,37.964648103931346],[-2.7071960704918148,37.96490675457603],[-2.7078961619088022,37.96499594236626],[-2.708600663628742,37.96491120483918],[-2.7092383427730207,37.96465708408435],[-2.709742211013529,37.964260156502135],[-2.7100677331062237,37.963756337569876],[-2.710183650164876,37.96319892741927]]]}"
11,C2-LDT,Castrils,LDT,2017_AJ,0.1752446072,0.1287979006,0.2971656022,0.1616973722,0.123515751,-0.1422325992,"{""type"":""Polygon"",""coordinates"":[[[-2.7279977703843663,37.94338715872161],[-2.7278907644136865,37.94282979366631],[-2.7275696720744693,37.94233037277061],[-2.72706584004513,37.94192905505016],[-2.7264326236640017,37.94167042030371],[-2.725728081820878,37.94158124561645],[-2.725023550549542,37.941665944026845],[-2.7243903617105967,37.94192456593408],[-2.7238864879118685,37.94232143437047],[-2.723560945818261,37.94282083692049],[-2.72344499570637,37.943378260166355],[-2.7235564686816627,37.94393560385644],[-2.723877533577004,37.94443946914525],[-2.724377005949775,37.944840805608706],[-2.7250101946085925,37.94509499560664],[-2.725714725679513,37.94518861262665],[-2.7264192673222256,37.94509946922039],[-2.7270568851038948,37.944845269772145],[-2.7275607929272945,37.944448401601235],[-2.7278862868642006,37.94394455802527],[-2.7279977703843663,37.94338715872161]]]}"
6,P1-LDT,Pontones,LDT,2017_AJ,0.2462651597,0.167917292,0.3926196959,0.2109076851,0.172243086,-0.1476282571,"{""type"":""Polygon"",""coordinates"":[[[-2.7426102448154444,38.02602318084773],[-2.7424987266194414,38.025465810266155],[-2.7421776862645983,38.02496196627415],[-2.7416738493902115,38.02456065728819],[-2.7410406638325076,38.02430195929509],[-2.7403361306177096,38.0242127697421],[-2.739631532053007,38.02430200469626],[-2.7389983740058037,38.02455614085634],[-2.7384900167404975,38.02495303810783],[-2.7381645252343914,38.02545245140642],[-2.73805301758526,38.02600983886908],[-2.7381600467056035,38.026567234010244],[-2.7384855381806923,38.02707105529066],[-2.7389850140909404,38.02747238369297],[-2.7396226506259023,38.02773105724765],[-2.7403271731467016,38.02782024540459],[-2.741031706227242,38.02773101110405],[-2.7416648916642914,38.02747687440057],[-2.7421732073534217,38.02707997909132],[-2.742498726619441,38.026576128457705],[-2.7426102448154444,38.02602318084773]]]}"
7,P3-LDT,Pontones,LDT,2017_AJ,0.2404340141,0.1588307725,0.3862283031,0.2047776634,0.1705466237,-0.1487799856,"{""type"":""Polygon"",""coordinates"":[[[-2.7399883087176637,38.031258155525784],[-2.739876796741542,38.03070082468899],[-2.7395557742927883,38.030201369464976],[-2.7390518896119462,38.02980008209703],[-2.7384186634655485,38.02954147296168],[-2.7377141695520866,38.02945227552974],[-2.7370096102938937,38.029536970284084],[-2.7363719333063803,38.029791179763556],[-2.7358680827612676,38.03019245145592],[-2.7355425335120707,38.0306919027378],[-2.7354311079873272,38.03124924403028],[-2.7355381311361886,38.031806679983944],[-2.7358591261418175,38.03231057381375],[-2.736363052495251,38.0327118591029],[-2.736996250944373,38.03296602917576],[-2.737700734095752,38.03305522524678],[-2.73840530371547,38.03297044848818],[-2.7390429323856775,38.03271632085013],[-2.7395468169704946,38.03231948760988],[-2.739872318049591,38.03181560110538],[-2.7399883087176637,38.031258155525784]]]}"
8,P2-LDT,Pontones,LDT,2017_AJ,0.2834446001,0.1786277797,0.4393835737,0.2269927922,0.1984876906,-0.1067246419,"{""type"":""Polygon"",""coordinates"":[[[-2.7532451639713607,38.03185124314763],[-2.753138176442469,38.03129382820343],[-2.7528126594599884,38.030790003377504],[-2.7523132644458554,38.030388674583065],[-2.751675607664704,38.03013452117373],[-2.7509710669561613,38.03004088710255],[-2.750266536799009,38.03013001685811],[-2.7496333114554616,38.030384190616765],[-2.749124991043807,38.03078109831754],[-2.74879950182946,38.03128493440179],[-2.748687968954586,38.03184236261474],[-2.7487995018294606,38.03239975321879],[-2.7491205114708683,38.03289916449324],[-2.749624428138974,38.033300467361435],[-2.7502575774361353,38.03355908150495],[-2.7509621074591077,38.0336482760968],[-2.7516666480334715,38.033559064534124],[-2.752299824817489,38.0333048920024],[-2.752808179535891,38.0329080651718],[-2.753133696487375,38.032408668098],[-2.7532451639713607,38.03185124314763]]]}"
1,S3-LDT,Santiago,LDT,2017_AJ,0.1914975057,0.1278674201,0.3205213348,0.1566111781,0.1346558058,-0.1669772509,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
2,S2-LDT,Santiago,LDT,2017_AJ,0.2126087,0.1547579824,0.347887634,0.1901974982,0.1492063044,-0.1517666573,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
14,C2-SDT,Castril,SDT,2017_AJ,0.2702750173,0.1828072102,0.4207581781,0.2404202396,0.1892104457,-0.08852003236,"{""type"":""Polygon"",""coordinates"":[[[-2.690313903455392,37.96221345706403],[-2.690202433659333,37.96165606029509],[-2.689881371797622,37.96115222373094],[-2.6893819634613974,37.96075091284091],[-2.688748724990035,37.960496752519205],[-2.6880442183935482,37.96040310014195],[-2.687339646573184,37.96049224458651],[-2.68670651154875,37.96074640264789],[-2.6861981141140228,37.96114327823518],[-2.685872606172614,37.961642694139634],[-2.6857611469505036,37.9622000795345],[-2.6858682084567773,37.96275749688142],[-2.6861892427984047,37.963261333992406],[-2.6866930906954036,37.963662704218635],[-2.68732630136337,37.96392130621645],[-2.68803087298289,37.964010512775445],[-2.6887353793785627,37.963925730746915],[-2.689368541841078,37.96366712961534],[-2.689872423954878,37.96327027708016],[-2.6901979597070675,37.962770862148936],[-2.690313903455392,37.96221345706403]]]}"
15,C1-SDT,Castril,SDT,2017_AJ,0.224288725,0.1590070623,0.364786349,0.202682173,0.1582463594,-0.104847931,"{""type"":""Polygon"",""coordinates"":[[[-2.687495770645575,37.957709806994714],[-2.687384231733557,37.95715237132172],[-2.6870631891967687,37.95664849192795],[-2.68656381092094,37.95625166399555],[-2.685926137022607,37.955993046965126],[-2.685226070557087,37.955903873341384],[-2.684521541151982,37.95598856120225],[-2.683883895075364,37.95624274147504],[-2.6833800015979743,37.95663960879266],[-2.6830545132544716,37.95714349230411],[-2.682938511666622,37.95769641097865],[-2.683050039985297,37.958253767176394],[-2.6833710549978282,37.958757647116926],[-2.683874948378894,37.95915897583406],[-2.6845081209250905,37.95941761279442],[-2.6852082524743555,37.959506783352985],[-2.6859127922157464,37.95942209421578],[-2.686550390108505,37.959167915059766],[-2.687054317717212,37.9587710480547],[-2.6873798338757156,37.95826716562961],[-2.687495770645575,37.957709806994714]]]}"
